key,1
#,
offset,4
int32,str
0,肖布里特灰戰場的科納似乎在思考獲取香蕉葉的方法。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,和烏克布對話
25,和科納對話
26,在指定地點等待
27,和烏克拉瑪特對話
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,能夠幫上烏克拉瑪特公主的忙真是太好了。
49,多虧了烏克布，我們了解了這片森林中發生的戰爭歷史。
50,回想起來，如果當初在「葦之試煉」中沒有修理神輿，<hex:02100103>我們可能就不會遇到烏克布。<hex:02100103>緣分真是奇妙啊。
51,多虧了烏克布殿，我們才知道了沙布魯克．皮比爾的誕生經過。
52,但是，關於如何獲取香蕉葉的關鍵信息，<hex:02100103>我們還是沒有找到……
53,或許，在這個肖布里特灰戰場，<hex:02100103>會有當時和平會談的痕跡？
54,是的，您說得對。<hex:02100103>我來帶路吧。
55,如果我的推測沒錯，應該就在這附近。
56,科納兄，你打算做什麼？
57,這就是科納王子在找的東西。
58,這兩把武器，<hex:02100103>據說是當時和平會談時，雙方代表為表達停戰意願而插入的。
59,在了解沙布魯克．皮比爾誕生秘話的過程中，<hex:02100103>這個灰戰場是關鍵的地方。<hex:02100103>因此，這裡可能有試煉的線索。
60,就像其他試煉一樣，<hex:02100103>「只有親自來過的人才能明白」的某些東西。
61,拉馬奇，還有<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>，<hex:02100103>能請你們幫個忙嗎？<hex:02100103>看看周圍有沒有什麼可疑的地方。
62,馬上就去！
63,果然……<hex:02100103>地面上有被挖掘過的痕跡。
64,哦，這裡埋著一個小箱子！
65,箱子裡有嶄新的香蕉葉。<hex:02100103>本來以為會有獲取方法的線索，<hex:02100103>沒想到竟然有現成的香蕉葉……
66,弗姆魯克大人預料到我們會來這裡，<hex:02100103>所以提前準備好了。
67,（★未使用／削除予定★）
68,（★未使用／削除予定★）
69,哼，真是費心思啊……
70,烏克布，謝謝你。<hex:02100103>能找到香蕉葉，全靠你了。
71,那真是太好了。
72,雖然在科納王子面前說這話有些冒昧，<hex:02100103>但我在見證了哈努哈努族的「葦之試煉」後，<hex:02100103>確信您是最適合帶領我們的王。
73,當時，所有的繼承候選人都解決了葦的歉收問題。<hex:02100103>但只有您，發現了與試煉無關的哈努哈努族的文化問題，<hex:02100103>並復興了伊希哈納祭。
74,沒有誰比烏克拉瑪特公主更能真心關心這個國家的人們，<hex:02100103>並體貼地延續過去的情感。
75,如果再需要講述歷史的時候，請隨時叫我。<hex:02100103>除了船匠的本職工作，我也會幫助您。
76,那麼，告辭了。
77,這麼說……
78,總之，現在我們有了香蕉葉。<hex:02100103>回到伊克布拉夏吧。
79,烏克布這傢伙，無論是船匠還是講述歷史，<hex:02100103>都讓人搞不清哪個才是他的本職。
80,我們的任務順利完成了。<hex:02100103>在其他人回來之前，我們就在這裡等吧。
81,啊～……走了這麼多路，我都餓壞了！
82,現在大家都到齊了。<hex:02100103>馬上確認一下情況吧。
83,我們這邊拿到了香蕉葉！<hex:02100103>多虧了烏克布！
84,你們見到烏克布了？<hex:02100103>我也想和他打個招呼。
85,是啊，他告訴了我們這片森林中的戰爭歷史，<hex:02100103>以及沙布魯克．皮比爾的誕生背景……
86,是格魯賈賈殿下結束了舒巴拉爾族和瑪姆加族的戰爭，<hex:02100103>這點我能理解……<hex:02100103>但沒想到他還參與了沙布魯克．皮比爾的誕生。
87,這老爹還是那麼不按常理出牌。<hex:02100103>那你們那邊怎麼樣？
88,我和于里昂熱一起走訪了集落，<hex:02100103>借來了製作沙布魯克．皮比爾所需的烹飪器具。
89,我們也準備好了蒸烤用的柴火。<hex:02100103>這片森林真是個拾柴的好地方。
90,你真是成了拾柴專家了……
91,我和埃倫維爾一起，捕捉到了沙布魯克．皮比爾的主要食材——<hex:02100103>伊布魯克！
92,伊布魯克比近親種霍格活潑得多。<hex:02100103>某個人把它趕進陷阱時，<hex:02100103>還不小心掉進了水池……
93,嘿，不是說好不提這件事的嗎！
94,調料也都準備齊全了。<hex:02100103>關鍵的紅木種子也採到了。
95,我們在村子的炊事場借用器具時，<hex:02100103>確認了調配比例。
96,現在食材和烹飪器具都準備好了。<hex:02100103>雖然很想馬上開始製作沙布魯克．皮比爾，<hex:02100103>但有誰有烹飪經驗嗎……？
97,我來吧。<hex:02100103>雖然只是為自己做飯的程度，<hex:02100103>但還是有些經驗的。
98,你也來幫忙吧？<hex:02100103>我聽說你在烹飪方面也很有一手。
99,你也來幫忙處理這頭野豬吧？<hex:02100103>冒險者應該對這種事很有經驗。
100,啊，我迫不及待想吃沙布魯克．皮比爾了！
101,稍等一下。<hex:02100103>馬上開始烹飪！
102,在前往下一個目的地之前，我們應該調查一下瑪布爾提到的事情……
103,最後的試煉，究竟會是什麼內容呢……
104,我們能在這裡擊敗佐拉賈王子，這對我們來說意義重大。
105,是時候想辦法從巴庫賈賈那裡奪回秘石了……
106,不過，沙布魯克．皮比爾……真是太好吃了！
107,可露兒用剩下的材料又做了一些，<hex:02100103>我給你留了一份！
108,如果還想要的話，可以去攤位看看。<hex:02100103>舒巴拉爾族日常也會吃這道料理，<hex:02100103>現在「食之試煉」結束了，他們應該會願意做給你吃。
109,伊克布拉夏的「雜貨店」新增了新商品！
