key,1
#,
offset,4
int32,str
0,薩卡．特萊關門的烏克拉瑪特似乎還想繼續帶我們參觀特萊約拉。
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,和烏克拉瑪特對話並同行
25,帶著同行者前往鳥趾大路<hex:02100103>在指定地點與可露兒對話
26,帶著同行者前往翼鏡的街<hex:02100103>在指定地點與可露兒對話
27,帶著同行者前往氣球發著場<hex:02100103>在指定地點與烏克拉瑪特對話
28,帶著同行者前往格魯賈賈凱旋門<hex:02100103>在指定地點與烏克拉瑪特對話
29,和烏克拉瑪特對話
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,兩位神明戰鬥分裂了特萊大陸的神話，<hex:02100103>讓人聯想到海德林和佐迪亞克的戰鬥。<hex:02100103>或許這個故事就是從那裡得到的靈感……
49,接下來，我們去看看城市西側的「格魯賈賈凱旋門」，<hex:02100103>順便去氣球發著場。
50,氣球……？<hex:02100103>特萊約拉也有這種東西啊。
51,是啊，還有很多地方要帶你們去！<hex:02100103>如果這裡看夠了就告訴我。
52,「格魯賈賈凱旋門」在城市的另一邊。<hex:02100103>途中如果有什麼感興趣的地方，告訴我！
53,烏克拉瑪特等人開始「同行」。<hex:02100103>要進行任務，必須在同行者靠近的狀態下，<hex:02100103>完成目標。
54,「同行」會在移動區域或選擇「解除同行狀態」時解除。
55,解除後，可以回到原地與同行者交談，<hex:02100103>再次開始「同行」。
56,要做什麼？
57,交談
58,解除同行狀態
59,取消
60,特萊約拉還有很多有趣的地方。<hex:02100103>請期待吧！
61,正如埃倫維爾先生所說，<hex:02100103>如果累了就不要勉強，休息一下。<hex:02100103>要保留體力參加繼承儀式。
62,解除同行狀態。真的要解除嗎？
63,怎麼了，要分開行動嗎？<hex:02100103>那麼，我會在「薩卡．特萊關門」等你！
64,明白了。<hex:02100103>那麼稍後在「薩卡．特萊關門」集合吧！
65,我還以為你不會來了……<hex:02100103>不是我擔心啦！<hex:02100103>只是有點坐立不安而已！
66,你的事情辦完了嗎？<hex:02100103>那麼，我們走吧！
67,話說回來，特萊約拉的人們是怎麼在這樣的山上建造城市的呢？
68,原本這裡有約卡菲族建造的神殿。<hex:02100103>在建造薩卡．特萊大橋時，<hex:02100103>為了不驚動沉睡在大海溝底部的神明，特地建造了這座神殿來鎮壓。
69,幾百年前約卡菲族離開後，這裡被長期荒廢，<hex:02100103>但在父親建立國家時，正好位於特萊大陸的中心，<hex:02100103>於是改建成了王宮。
70,當時聚集的工人住處，<hex:02100103>成為了特萊約拉城市的基礎！
71,好了，既然提到了，<hex:02100103>我們就去看看特萊約拉最大的居住區「翼鏡的街」吧！<hex:02100103>就在這個階梯上面！
72,同行者還沒到。<hex:02100103>去附近接他們，一起聽講解吧。
73,上面的階梯很陡。<hex:02100103>千萬小心不要掉下去！<hex:02100103>我可是差點因為這樣摔死好幾次！
74,這個城市原本是約卡菲族建造的神殿啊。<hex:02100103>雖然還沒見過他們，但不知道是什麼樣的部族。
75,h談談「沃洛克連王」hex:0248020103
76,這裡就是「沃洛克連王宮」……<hex:02100103>顧名思義，就是父親的王宮。
77,反正我們之後還會來這裡，<hex:02100103>先帶你們去其他地方看看。
78,好大的建築……！<hex:02100103>最上面的那個雕像是什麼……？
79,這裡是居住區。<hex:02100103>住著什麼樣的人呢？
80,這裡有以約卡．特萊為根據地的馬姆賈族、舒巴拉爾族、<hex:02100103>佩爾佩爾族和莫布林族、哈努哈努族……
81,還有從薩卡．特萊遷移過來的<hex:02100103>托納瓦塔族、海扎．阿羅族、夏托納族……
82,總之，特萊大陸各地的部族都聚集在這裡。
83,真是特萊約拉這個多部族國家的縮影……<hex:02100103>每棟建築都有部族特有的裝飾，<hex:02100103>真是讓人耳目一新！
84,聽你這麼說我也很高興！<hex:02100103>那麼，接下來我們下樓梯。
85,托納瓦塔族就是你們所說的「人族」。<hex:02100103>而夏托納族就是埃倫維爾的部族。
86,異部族的孩子們和睦相處的景象，<hex:02100103>讓人感受到這個國家的和平。
87,hex:024804F2022403談談「太鼓」hex:0248020103
88,那邊看到的大太鼓叫做曙歌大太鼓。<hex:02100103>特萊勇連隊完成任務回來時，<hex:02100103>會敲擊這個太鼓來慰勞他們。
89,有一次我用斧頭猛敲，結果把太鼓敲壞了。<hex:02100103>父親狠狠地罵了我一頓，還把我倒吊在王宮裡……
90,這麼大的太鼓我還是第一次見。<hex:02100103>是怎麼敲的呢？
91,這裡是「氣球發著場」！<hex:02100103>怎麼樣，驚訝吧！
92,聽說外國有叫做飛空艇的飛行機械，<hex:02100103>但在特萊約拉主要使用的是氣球！
93,這個氣球的誕生過程和以太之光一樣。<hex:02100103>科納哥哥從薩雷安帶回來的知識，<hex:02100103>父親非常喜歡，於是三年前引入了氣球。
94,有了氣球後，和其他聚落的交通變得方便了。<hex:02100103>聽說與邊境村莊的交易也變得輕鬆了很多。
95,那麼，接下來就是<hex:02100103>最初提到的目的地……「格魯賈賈凱旋門」！
96,雖然氣球很方便，<hex:02100103>但飛在空中總覺得有點……<hex:02100103>不是害怕，只是不太喜歡而已。
97,一提到氣球，就讓我想起伊克薩爾族。<hex:02100103>他們的氣球是用多個氣囊來浮起船體，<hex:02100103>而這個國家只用一個大氣囊來產生浮力。
98,這就是「格魯賈賈凱旋門」。
99,當初約卡菲族稱這裡為約卡．特萊關門，<hex:02100103>但在特萊約拉建國後，大家為了紀念父親的偉業，<hex:02100103>就改稱為格魯賈賈凱旋門。
100,門的另一邊是約卡．特萊西側的濕地，<hex:02100103>「科扎馬爾．卡」。<hex:02100103>根據繼承儀式的內容，可能會去那裡。
101,科扎馬爾．卡……那是什麼樣的地方呢？
102,對了，來這裡的路上看到的那隻動物是……？
103,啊……那是羊駝。<hex:02100103>看起來很可怕的野獸……
104,可怕嗎？我覺得它們很可愛啊……
105,總有一天你會明白的……
106,不過，還有一個地方要帶你們去。<hex:02100103>了解特萊約拉，這裡是必去之地。<hex:02100103>跟我來！
107,烏克拉瑪特小姐想讓我們看的就是這些石塔嗎……？
108,想了解特萊約拉，<hex:02100103>看這個就一目了然！
109,這些石塔能讓我們了解特萊約拉……<hex:02100103>這是什麼意思呢？
110,（★未使用／削除予定★）
111,（★未使用／削除予定★）
112,（★未使用／削除予定★）
113,（★未使用／削除予定★）
114,（★未使用／削除予定★）
115,（★未使用／削除予定★）
116,（★未使用／削除予定★）
117,（★未使用／削除予定★）
